ds,Open,High,Low,Close,Volume
2019-09-04 11:25:00,136.98,137.055,136.96,136.97,150384.0
2019-09-04 11:30:00,136.98,137.165,136.94,137.145,173458.0
2019-09-04 11:35:00,137.14,137.26,137.12,137.2,302844.0
2019-09-04 11:40:00,137.2029,137.3232,137.2029,137.29,201103.0
2019-09-04 11:45:00,137.3,137.39,137.29,137.34,213832.0
2019-09-04 11:50:00,137.35,137.425,137.27,137.3139,154861.0
2019-09-04 11:55:00,137.32,137.3506,137.26,137.325,102482.0
2019-09-04 12:00:00,137.33,137.37,137.28,137.32,74945.0
2019-09-04 12:05:00,137.32,137.47,137.32,137.4349,138922.0
2019-09-04 12:10:00,137.44,137.46,137.39,137.4049,85657.0
2019-09-04 12:15:00,137.41,137.48,137.37,137.4431,116879.0
2019-09-04 12:20:00,137.441,137.455,137.12,137.2,202288.0
2019-09-04 12:25:00,137.2,137.21,137.09,137.125,120657.0
2019-09-04 12:30:00,137.125,137.15,137.08,137.0949,83623.0
2019-09-04 12:35:00,137.093,137.15,137.015,137.03,98562.0
2019-09-04 12:40:00,137.04,137.157,137.04,137.0935,160600.0
2019-09-04 12:45:00,137.095,137.13,137.045,137.13,70457.0
2019-09-04 12:50:00,137.13,137.46,137.125,137.435,256424.0
2019-09-04 12:55:00,137.43,137.44,137.35,137.38,166733.0
